MinPrincipalStrain,MaxPrincipalStrain,EqPlasticStrain,MinPrincipalStress,MaxPrincipalStress,ElemVolume,IntegrationPoint_CoordX,IntegrationPoint_CoordY,Stress_xx,Stress_yy,Stress_xy,StressTriaxility,MisesStress,ThirdInvStress
-0.096585,   0.029579,   0.106847,   -788.923523,   0.000000,   0.567392,   1.113431,   50.320492,   -263.148895,   -716.520020,   -195.110062,   -0.458034,   712.952087,   -651.735229
-0.089652,   0.025915,   0.099134,   -782.038879,   0.000000,   0.567390,   1.113431,   49.365013,   -266.165833,   -723.477295,   -173.811234,   -0.470142,   701.662109,   -626.770325
-0.077128,   0.021998,   0.084759,   -750.976929,   0.000000,   0.567392,   1.113431,   48.409538,   -239.920349,   -673.585571,   -198.875214,   -0.444955,   684.343811,   -638.717529
-0.060609,   0.018547,   0.067179,   -586.800232,   151.287857,   0.567391,   1.113431,   47.454060,   -227.733810,   -207.778580,   -368.909149,   -0.214980,   675.276489,   -635.445618
-0.050900,   0.019134,   0.061390,   -425.128082,   337.461334,   0.567391,   1.113431,   46.498585,   -168.254074,   80.587326,   -360.423553,   -0.044151,   661.874878,   -385.457855
-0.046276,   0.021618,   0.055643,   -488.181763,   255.611603,   0.567391,   1.113431,   45.543106,   -175.830185,   -56.739971,   -367.098785,   -0.118437,   654.556091,   -523.145508
-0.042597,   0.024605,   0.050517,   -424.366058,   315.641846,   0.567391,   1.113431,   44.587631,   -143.413788,   34.689583,   -359.127716,   -0.056348,   643.167175,   -405.791412
-0.042937,   0.029543,   0.049960,   -430.413208,   310.109406,   0.567391,   1.113431,   43.632153,   -126.593071,   6.289270,   -364.251282,   -0.062257,   644.126160,   -419.834076
-0.043995,   0.033903,   0.050962,   -404.696899,   341.745148,   0.567392,   1.113431,   42.676678,   -100.794830,   37.843086,   -366.727173,   -0.032422,   647.203674,   -340.358307
-0.046414,   0.038490,   0.054506,   -403.061188,   353.864746,   0.567390,   1.113431,   41.721199,   -84.680946,   35.484482,   -373.663330,   -0.024999,   655.978455,   -316.468018
-0.047944,   0.041917,   0.057356,   -389.818298,   374.902283,   0.567391,   1.113431,   40.765724,   -68.628441,   53.712437,   -377.435516,   -0.007507,   662.309448,   -214.090530
-0.050629,   0.046197,   0.061761,   -384.992645,   390.296295,   0.567391,   1.113431,   39.810246,   -57.415257,   62.718929,   -382.962372,   0.002633,   671.425171,   153.068146
-0.052912,   0.049517,   0.065404,   -378.624969,   404.713928,   0.567391,   1.113431,   38.854771,   -47.575142,   73.664093,   -386.949890,   0.012817,   678.516785,   262.110840
-0.054570,   0.052178,   0.068241,   -375.339081,   414.111084,   0.567392,   1.113431,   37.899292,   -38.976635,   77.748657,   -390.386597,   0.018896,   683.958679,   300.654694
-0.056258,   0.054732,   0.071050,   -370.302368,   424.779083,   0.567390,   1.113431,   36.943813,   -30.269409,   84.746132,   -393.359222,   0.026352,   689.099304,   338.314087
-0.057789,   0.057115,   0.073662,   -367.411041,   432.818756,   0.567392,   1.113431,   35.988338,   -22.446705,   87.854416,   -396.295776,   0.031425,   693.790527,   361.101624
-0.058888,   0.058936,   0.075617,   -362.914429,   440.864136,   0.567390,   1.113431,   35.032864,   -15.142138,   93.091835,   -398.229004,   0.037269,   697.182861,   383.938721
-0.059612,   0.060415,   0.077107,   -359.312561,   447.143341,   0.567392,   1.113431,   34.077385,   -7.657659,   95.488441,   -399.916229,   0.041837,   699.790588,   400.371002
-0.060065,   0.061589,   0.078219,   -354.126953,   454.067963,   0.567391,   1.113431,   33.121906,   0.368889,   99.572136,   -401.041687,   0.047476,   701.698914,   418.533295
-0.060156,   0.062374,   0.078836,   -349.296204,   459.694458,   0.567391,   1.113431,   32.166431,   7.895272,   102.502998,   -401.719818,   0.052363,   702.777588,   432.879883
-0.060061,   0.062970,   0.079207,   -343.842896,   465.392151,   0.567391,   1.113431,   31.210953,   16.390461,   105.158791,   -402.175812,   0.057597,   703.448303,   447.014252
-0.059457,   0.063046,   0.078898,   -336.631683,   471.327026,   0.567391,   1.113431,   30.255476,   24.546251,   110.149078,   -401.705566,   0.063872,   702.946411,   462.005096
-0.058782,   0.063082,   0.078524,   -329.907990,   476.671112,   0.567391,   1.113431,   29.299999,   34.063480,   112.699661,   -401.368347,   0.069652,   702.361877,   474.774750
-0.057662,   0.062637,   0.077533,   -321.887939,   481.919617,   0.567391,   1.113431,   28.344522,   43.137188,   116.894493,   -400.208221,   0.076129,   700.701416,   487.433380
-0.056162,   0.061996,   0.076201,   -303.330536,   495.186432,   0.567391,   1.113431,   27.389046,   53.769257,   138.086639,   -397.026428,   0.091601,   698.157715,   515.189636
-0.055211,   0.061831,   0.075526,   -311.089172,   487.637207,   0.567391,   1.113431,   26.433569,   65.715736,   110.832298,   -398.725586,   0.084393,   697.327209,   501.359406
-0.052023,   0.059674,   0.072171,   -241.513260,   536.197266,   0.567391,   1.113431,   25.478092,   75.816307,   218.867676,   -382.220459,   0.142474,   689.445312,   582.175110
-0.047835,   0.057781,   0.069239,   -104.580032,   616.965515,   0.567391,   1.113431,   24.522615,   98.911667,   413.473785,   -324.683929,   0.252896,   675.355957,   656.767395
